"country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"Palestine",NA,3078533,574105,18.6,60.9,11.4
"Panama",NA,7475016,1029701,13.8,179,24.7
"Papua New Guinea",NA,47490,961,2,0.53,0.011
"Paraguay",NA,2609819,647950,24.8,36.6,9.1
"Peru",NA,36073768,4177786,11.6,109.9,12.7
"Philippines",NA,34402980,4073980,11.8,34.1,4
"Poland",NA,36064311,5993861,16.6,94,15.6
"Portugal",NA,27515490,1499976,5.5,268,14.6
"Qatar",NA,4061988,473440,11.7,141,16.4
"Romania",NA,5405393,724250,13.4,27.9,3.7
"Russia",NA,295542733,18358459,6.2,201,12.5
"Rwanda",NA,2885812,98209,3.4,22.3,0.76
"Saint Kitts and Nevis",NA,30231,995,3.3,57.6,1.9
"Saint Lucia",NA,212132,29550,13.9,116.6,16.2
"Saint Vincent",NA,113504,9585,8.4,103,8.7
"San Marino",NA,192613,23427,12.2,563,68.4
"Saudi Arabia",NA,41849069,753632,1.8,120,2.2
"Senegal",NA,624502,46509,7.4,3.9,0.29
"Serbia",NA,12185475,2473599,20.3,175,35.5
"Singapore",NA,16206203,65315,0.4,284,1.1
"Slovakia",NA,7391882,1861034,25.2,135,34.1
"Slovenia",NA,2826117,1322282,46.8,135,63.1
"South Africa",NA,11378282,1637848,14.4,19.2,2.8
"South Korea",NA,6592010,90029,1.4,12.7,0.17
"South Sudan",NA,164472,10688,6.5,1.3,0.084
"Spain",NA,54128524,3821305,7.1,116,8.2
"Sri Lanka",NA,2384745,93128,3.9,10.9,0.43
"Sudan",NA,158804,23316,14.7,0.36,0.053
"Sweden",NA,9996795,1074751,10.8,96.8,10.4
"Switzerland[l]",NA,23283909,4276836,18.4,270,49.7
"Taiwan[m]",NA,30275725,8622129,28.48,128.3,36.528
"Tanzania",NA,3880,509,13.1,0.0065,0.00085
"Thailand",NA,1579597,26162,1.7,2.3,0.038
"Togo",NA,807269,39358,4.9,9.4,0.46
"Trinidad and Tobago",NA,512730,92997,18.1,37.6,6.8
